,JobText
10,"Talent Table a 21 Tech Subsidiary is looking for a Receptionist 1  to work at our client's site in Irvine, CA. This is a 3 days contract position .You must be authorized to work in the United States without sponsorship, No H1B

Answers and routes incoming phone calls for 1-9 lines.  Takes and relays telephone messages.  Provides telephone directory assistance.  Has ability to communicate clearly and accurately; use a telephone system to receive and transfer calls; shows patience and courtesy when dealing with people. Candidate should have 0-2 years related experience.  Please note the candidate will need to pay $15.00 per day for parking and expense through hiring agency."
11,"21 Tech is looking for a Paralegal  to work at our client's site in Eagan, MN. This is a 12 months contract position .You must be authorized to work in the United States without sponsorship, No H1B

This is a Half-time position - 20 hours per week, and does not need to be a certified Paralegal. 

Duties include: 
1) Working with courts and local government units to identify case targets 
2) Creating, standardizing, processing, and tracking case leads 
3) Deploying case leads for acquisition 
4) Generating and coordinating de-dupe lists 
5) Working with law firms to publish case results. 

-Strong candidates must have good skills in relational databases such as Access. 
-Preference for candidate with Westlaw research skills. 
-Having a good understanding the court system and court documents is an advantage."
12," Job Description - Line Service Operator (7377)  Line Service Operator - 7377Description SUMMARY The Line Service Operator C is responsible for performing daily operational duties in a professional, safe, and efficient manner. 
 
ESSENTIAL DUTIES AND RESPONSIBILITIES Perform general aircraft servicing, fueling of private, corporate, government and airline customers. Perform the parking and storage of base and transit customers. Provide assistance to maintenance hangars with reference to fuels and ground support. All other duties as assigned. 
 
CORE COMPETENCIES Commitment to company values and ethics Dependability: personally responsible, completes work in a timely manner, and performs tasks accurately Motivation: must maintain a positive attitude and strong work energy Organization: very detail oriented and always comes prepared Communication: excellent interpersonal and oral and written communication skills Initiative: plans work and carries out tasks without detailed instructions, prepares for problems or opportunities in advance, undertakes additional responsibilitiesQualifications QUALIFICATIONS To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. 
 
EDUCATION and/or EXPERIENCE High school diploma or general education degree (GED) required. Must have a minimum of 1 year related experience and/or training. 
 
PHYSICAL DEMANDS/WORK ENVIRONMENT The physical demands and work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee may be regularly required to sit, stand, bend, reach and move about the facility. The environmental characteristic for this position is an office setting. Candidates should be able to adapt to a traditional business environment. Must be able to lift and carry up to 50 pounds and comply with OSHA standards.Job: WarehousePrimary Location: United States-Oklahoma-Oklahoma City - Aircraft ServicesSchedule: Part-timeOvertime Status: Non-exemptEqual Opportunity Employer Minority/Female/Disability/Veteran   "
13," Job Description - Warehouse Clerk (7362)  Warehouse Clerk - 7362Description SUMMARY  

Ensure that all inventory is properly categorized and accounted for. Receive inventory as needed and ensure that the entire shipment is unloaded.
 
ESSENTIAL DUTIES AND RESPONSIBILITIES


Unload incoming inventory from trucks.
Stock inventory onto shelf locations.
Pick inventory for shipment to customers or repair vendors.
Perform inventory cycle counts.
Research missing parts and report any discrepancies.
Operate forklift equipment.
All other duties as assigned.

 
CORE COMPETENCIES


Commitment to company values and ethics
Dependability: personally responsible, completes work in a timely manner, and performs tasks accurately
Motivation: must maintain a positive attitude and strong work energy Organization: very detail oriented and always comes prepared
Communication: excellent interpersonal and oral and written communication skills
Time management: ability to organize and manage multiple priorities and effectively deal with tight deadlines and pressure
Qualifications QUALIFICATIONS  

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and or ability required.
 
EDUCATION and or EXPERIENCE


High school diploma or general education degree, GED, required. 
Must have a minimum of 1 year related experience and or training.

 
PHYSICAL DEMANDS and WORK ENVIRONMENT
 
The physical demands and work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee may be regularly required to sit, stand, bend, reach and move about the facility. The environmental characteristic for this position is a warehouse setting. Candidates should be able to adapt to a traditional warehouse environment. Must be able to lift and carry up to 75 pounds and comply with OSHA standardsJob: WarehousePrimary Location: United States-Connecticut-WindsorSchedule: Full-timeOvertime Status: Non-exemptEqual Opportunity Employer Minority/Female/Disability/Veteran   "
14," Job Description - Crew Chief (C-130) (7359)  Crew Chief (C-130) - 7359Description SUMMARY: 
Responsible for maintaining aircraft and the associated engines and sub-systems to ensure airworthiness. The duties include, but are not limited to: aircraft servicing, maintaining, repair, inspection; reporting aircraft status; technical and logistical support for aircraft issues; technical support for aircraft.
 
ESSENTIAL DUTIES AND RESPONSIBILITIES:

The completion of scheduled and unscheduled maintenance, parts ordering and aircraft issues.    
Repairs, replaces and rebuilds aircraft structures, such as cowlings and fuselage, and functional components including rigging, surface controls, and plumbing and hydraulic units; using hand tools, power tools, machines and equipment such as shears, sheet metal brake, welding equipment, rivet gun and drills.
Reads and interprets manufacturer and airline maintenance manuals, service bulletins, and other related documentation to determine feasibility and method of altering or repairing the aircraft and its associated components, determining the airworthiness of the aircraft and its associated components and replacement for malfunctioning or damaged components.
Repairs or replaces defective parts and associated components.
Troubleshoots, repairs and replaces electrical wiring and associated components.
Performs routine duties within the first echelon, such as: to service aircraft, including hydraulic system servicing, engine oil replenishment, aircraft systems lubrication, aircraft fueling, clean windows, change tires, brakes, lightbulbs.
Interacts with company MOC, the customer and manufacturer in matters that concern the airworthiness of the aircraft, operational readiness of the aircraft and issues related to the troubleshooting of the aircraft's system.
Must know the maintenance sections of the maintenance manual, the operation and the provisions and applicable parts of Military Maintenance.
Must effectively interact with Company and customer representatives as well as with representatives of on-site business or military entities.
Perform applicable C-130H related maintenance tasks to include any special certification/qualification tasks, i.e., engine runs,  servicing or aircraft towing in accordance with applicable C-130H technical orders.
All other duties as assigned.
CORE COMPETENCIES:

Commitment to company values and ethics 
Focus on Results - Able to plan and organize work to achieve goals; achieves targeted results without supervision; is accountable for own actions.
Communications - Possess excellent verbal & written communications skills; Provides timely, well organized verbal &written information that is audience appropriate; listens attentively to others and retains/processes information.
Teamwork - Builds alliances, partnerships & collaboration with others including those different from him/her; deals tactfully with others; assumes helps with a variety of team roles.
Strategic Planning & Decision-Making - Develops strategic short & long term plans; arranges priorities, distinguishing urgent, important and unimportant in order to meet goals & deadlines; consults & collaborates with appropriate people.
Initiative & Innovation - Generates new ideas personally & encourage team to do the same; stays up-to-date on technology & approaches to work; provides creative solutions & input when faced with challenges.
Interpersonal Relationships - Builds effective relationships with internal & external customers; ability to work independently and coordinate work with others; resolves conflicts in a professional manner. 
Quality & Safety - Adheres to all safety & security policies and regulations; demonstrates quality work that is accurate thorough & efficient. 
Continuous Improvement - Examines personal & organizational processes, promotes opportunities for improvement; analyzes successes & failures to learn and improve.
Training & Development - Completes required & suggested training; shows eagerness and capacity to learn; receptive to coaching & feedback.
Integrity - Committed to passionately and consistently promoting a professional culture that is trustworthy, honest, socially responsible, and where differences are respected and valued.
Performance Management - Sets clear expectations & direction for staff; achieves team results consistently; coaches staff to improve; is a positive role model
Leadership - Builds commitment to team, company, mission & customer through effective & frequent communications; promotes an environment of trust; fosters a respectful, energetic & positive work culture.Qualifications To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
 
EDUCATION and/or EXPERIENCE:
Required

High School diploma or GED.
Federal Aviation Administration Airframe and Power Plant (A&P) License or 8 years of USAF Crew Chief experience.
Five (5)+ years’ aviation maintenance experience.
Five (5)+ years’ experience on fleet type relevant to the assigned program.
Recent engine run experience required.
Knowledge and understanding of applicable USAF Maintenance Program. 
Excellent oral and written communication skills. 
Proficient in MS Office (Word, Excel, Access, PowerPoint).
 
Preferred

Ten (10)+ years’ Aviation Maintenance experience.
Seven (7)+ years’ experience on fleet type relevant to the assigned program.
Seven (7)+ years’ experience working government contract service.
Have had at least one tour in the USAF and have been a C-130H Crew Chief.
Through knowledge and understanding of applicable C-130 Maintenance Program. 
 
WORK CONDITIONS:
Position is located OCONUS and in an austere environment; work is being performed in a on the flight line, limited hangar or aviation field environment.
 
PHYSICAL REQUIREMENTS:
You must be able to lift parts, tools, test sets and other items weighing up to 50 lbs., including up and down stairs. You will be required to stand, walk, sit, squat, stretch, and bend during a normal workday. You must be able to see and hear, or use prosthetics that will enable these senses to function adequately to assure that the requirements of this position can be fully met.Job: DefensePrimary Location: Afghanistan-KabulSchedule: Full-timeOvertime Status: Non-exemptEqual Opportunity Employer Minority/Female/Disability/Veteran   "
15," Job Description - Inventory Coordinator II (7329)  Inventory Coordinator II - 7329Description SUMMARY

The Inventory Coordinator II working
with direct supervision will process incoming and outgoing shipments to
customers and repair vendor orders, ensure timely turnaround, as well as
adherence to all AAR policies and procedures.

 

ESSENTIAL DUTIES AND RESPONSIBILITIES:

Maintain open and closed repair order
files.Track repair orders.Process incoming orders to customers
using designated systems.Maintain an appropriate filing system to
retrieve need paperwork.Performs such individual assignments as
supervisors and superiors may direct. Ensures that adequate and continuous
controls are exercised over all assigned activities affecting quality.Must be able to input and extract
information from inventory management system.Follows defined administrative processes
within functional department..All other duties as assigned.

















 

CORE COMPETENCIES

Commitment to company values and ethicsDependability: personally responsible,
completes work in a timely manner, and performs tasks accurately -Motivation:
must maintain a positive attitude and strong work energyOrganization: very detail oriented and
always comes preparedCommunication: excellent interpersonal
and oral and written communication skillsInitiative: plans work and carries out
tasks without detailed instructions, prepares for problems or opportunities in
advance, undertakes additional responsibilitiesAnalytical skills: must be able to
gather information and use data to determine cause and effect for complex
problem solving









Qualifications QUALIFICATIONS

To perform this job successfully, an
individual must be able to perform each essential duty satisfactorily. The
requirements listed below are representative of the knowledge, skill, and/or
ability required.

Computer Literate: Word, Excel, and
Crosstalk (IMOPS).Ability to communicate effectively with
vendors.



 

EDUCATION and/or EXPERIENCE

High school diploma or general education
degree (GED) required. Must have a minimum of 1 
year related experience and/or training.

 

PHYSICAL 
DEMANDS/WORK  ENVIRONMENT

The physical demands and work
environment characteristics described here are representative of those that
must be met by an employee to successfully perform the essential functions of
this job. Reasonable accommodations may be made to enable individuals with
disabilities to perform the essential functions.

While performing the duties of this job,
the employee may be regularly required to sit, stand, bend, reach and move
about the facility. The environmental characteristic for this position is an
office setting. Candidates should be able to adapt to a traditional business
environment.Job: WarehousePrimary Location: United States-Oklahoma-Oklahoma City - BoeingSchedule: Full-timeOvertime Status: Non-exemptEqual Opportunity Employer Minority/Female/Disability/Veteran   "
16," Job Description - Certified Nurse Assistant (Casual) (170J8)Job Description Certified Nurse Assistant (Casual) - 170J8 Description Under general supervision, actively incorporates our “Philosophy for Person-Directed Care.” Develops awareness of residents’ interests and needs, and assists residents to maximize their independence and participation. Provide exemplarly care to residents ranging from basic needs,  to activities of daily living, to recreational activities. Creates a safe environment in which to provide resident care. Duties and assignments may be adjusted at the discretion of the Director of Nursing Services and/or designee. Qualifications Requirements:
• High School Diploma or equivalent preferred
• Successful completion of the Certified Nursing Assistant or Licensed Practical Nurse Program
• Current CNA and CPR cards
Education:
Certification is required for entry for this position  
Experience/Training – Minimum of one year experience preferred
Certificates, Licenses, Registrations –
CNA or LPN as applicable per state
CPR Job: Medical / Nursing Primary Location: California-Irvine-Regents Point Employee Schedule Type: Casual Work Locations: Regents Point 19191 Harvard Avenue  Irvine 92612 Number of Openings: 6 Job Posting: Oct 6, 2017 Recruiter: FABIOLA KARINA CARSTENSEN   "
17," Job Description - Director Wellness Programs (170X9)Job Description Director Wellness Programs - 170X9 Description Under limited supervision, the Director of Wellness plans, organizes, directs and evaluates nursing services to meet the total health needs of residents in Residential Living and Residential Plus programs; coordinates the assessment process for current and prospective residents in order to assess health and social needs and services that may be required. As a representative and team member of the company, this position is expected to present oneself in a manner that reflects professionalism and ensures resident satisfaction. Qualifications REQUIREMENTS:  
Education
• Completion of Accredited Licensed Nursing Program (RN)
• BS Degree, preferred or equivalent combination of education, training, and related professional experience   
Experience/Training 
• Minimum of 1 year professional managerial experience in related field
• Clinical observation and assessment skills
• Proficient computer skills necessary to complete documentation, review electronic health records and communicate with team members
Certificates, Licenses, Registrations 
• Current RN license
• Current CPR certification Job: Medical / Nursing Primary Location: California-Fresno-The Terraces at San Joaquin Gardens Employee Schedule Type: Full Time Work Locations: The Terraces at San Joaquin Gardens 5555 N. Fresno Street    93710 Number of Openings: 1 Job Posting: Oct 6, 2017 Recruiter: Bonnie Olay   "
18," Job Description - Licensed Vocational / Practical Nurse (PTB) Skilled Nursing (170XA)Job Description Licensed Vocational / Practical Nurse (PTB) Skilled Nursing - 170XA Description Under general supervision, responsible for the nursing needs of residents, while actively incorporating our “Philosophy for Person-Directed Care.” Ensures a safe and healthy environment for residents, staff, and visitors to participate in the resident’s daily life rhythm.  Develops awareness of residents’ interests and needs, and assists residents to maximize their rehabilitation, independence and participation. Will provide care and assistance of residents in the Skilled Nursing arena and on limited occasions may supervise caregivers providing resident services; effectively plans and implements nursing services to provide quality care. Duties and assignments may be adjusted at the discretion of the Director of Nursing Services and/or designee. Qualifications Education:
• Graduate of an accredited nursing school and currently licensed as an LVN/LPN to practice in applicable state. 
Experience/Training:
• Nursing experience preferred                                                                                          • Senior Care or Rehabilitation experience preferred
• Clinical observation skills
• Proficient computer skills necessary to complete documentation, review electronic health records and communicate with team members
Certificates, Licenses, Registrations:
• Current LVN license
• Current CPR certification Job: Medical / Nursing Primary Location: California-Irvine-Regents Point Employee Schedule Type: Part Time Work Locations: Regents Point 19191 Harvard Avenue  Irvine 92612 Number of Openings: 1 Job Posting: Oct 7, 2017 Recruiter: FABIOLA KARINA CARSTENSEN   "
19," Job Description - Janitor (170X8)Job Description Janitor - 170X8 Description Under general supervision, the Janitor performs a variety of janitorial custodial duties in the community. Work involves sweeping, mopping and using vacuum cleaners to clean floors; dusting, cleaning bathroom fixtures and floors and policing building to empty trash receptacle and picking debris.  Performs duties per established policies, procedures, Company standards of quality, cleanliness, resident satisfaction, safety and security and regulatory agency requirements.  Demonstrates and promotes service excellence and patient confidentiality at all times. As a representative and team member of the company, this position is expected to present oneself in a manner that reflects professionalism and ensures resident satisfaction. Qualifications Education – 
• High School Diploma or equivalent.  

Experience/Training – 
• Minimum of one year previous janitorial/custodial or housekeeping experience preferred.

Certificates, Licenses, Registrations – 
• None Job: Facilities Primary Location: California-San Francisco-Ammel Park Employee Schedule Type: Full Time Work Locations: Ammel Park 656 Grove Street  San Francisco 94102 Number of Openings: 1 Job Posting: Oct 6, 2017 Recruiter: Susan G Tolentino   "
20," Job Description - Certified Nurse Assistant (170X2)Job Description Certified Nurse Assistant - 170X2 Description Under general supervision, actively incorporates our “Philosophy for Person-Directed Care.” Develops awareness of residents’ interests and needs, and assists residents to maximize their independence and participation. Provide exemplarly care to residents ranging from basic needs,  to activities of daily living, to recreational activities. Creates a safe environment in which to provide resident care. Duties and assignments may be adjusted at the discretion of the Director of Nursing Services and/or designee. Qualifications Requirements:
• High School Diploma or equivalent preferred
• Successful completion of the Certified Nursing Assistant or Licensed Practical Nurse Program
• Current CNA and CPR cards
Education:
Certification is required for entry for this position  
Experience/Training – Minimum of one year experience preferred
Certificates, Licenses, Registrations –
CNA or LPN as applicable per state
CPR Job: Medical / Nursing Primary Location: California-Escondido-Redwood Terrace Employee Schedule Type: Full Time Work Locations: Redwood Terrace 710 West 13th Avenue  Escondido 92025 Number of Openings: 1 Job Posting: Oct 6, 2017 Recruiter: GENEVIEVE A JEFFERS   "
21," Job Description - Medication Certified Technician (170X5)Job Description Medication Certified Technician - 170X5 Description Under general supervision, the Medication Certified Tech evaluates the medical and emergency needs of residents in Assisted Living, Special Care and Residential Living environments; identifies and monitors current health problems of residents; provides services to promote and maintain the health and safety of the residents.   As a representative and team member of the company, this position is expected to present oneself in a manner that reflects professionalism and ensures resident satisfaction. Qualifications Education – 
• A high school diploma or equivalent
Experience/Training – 
• Vocational/technical training in the nursing field specifically with elderly preferred: 40 hours training under licensed professional, 
• Minimum of 2 years related experience or any equivalent combination of training and experience which provides the required skills, knowledge and abilities
Certificates, Licenses, Registrations – 
• Certified Medication Aide (State Applicable)
• CPR certified and First Aid trained Job: Medical / Nursing Primary Location: California-La Jolla-White Sands La Jolla Employee Schedule Type: Full Time Work Locations: White Sands La Jolla 7450 Olivetas Avenue  La Jolla 92037 Number of Openings: 2 Job Posting: Oct 6, 2017 Recruiter: CHRISTINE FREENOR   "
